ID,District,pH,TN,P2O5,K2O,OM,Sand,Clay,Silt,Longitude,Latitude,Dataset,SN,Texture_class,B,Zn,Source,Year,Palika,Ward.Numbe,Nepal_cropmask1,lyrid,upper_depth,lower_depth
00002687,Panchthar,6.73,0.07,246.9,221.77,1.62,57.88,4,38.12,87.6754,27.042,Legacy_Data,21163,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,00002687_1,0,20
00017ACF,Jhapa,5.6999998,0.2,41.26,227.8,4.15,39,30,31,88.0907,26.6111,Legacy_Data,9821,Clayloam,0.2,0.88,NLUP,2074,NA,NA,NA,00017ACF_1,0,20
0001B44E,Doti,6.3800001,0.27,112.52,1692,5.45,68,27,5,81.0143,29.3784,Legacy_Data,7097,Sandy Clay Loam,NA,NA,NLUP,2076,NA,NA,NA,0001B44E_1,0,20
0002440E,Rupendehi,6.5999999,0.08,21.98,22.8,1.41,30.6,18,51.4,83.472,27.5653,Legacy_Data,24924,SIL,0.53,0.31,NLUP,2074,NA,NA,NA,0002440E_1,0,20
000674C1,Bara,8,0.07,4.58,78.72,1.36,19,37,44,84.982,26.956,Legacy_Data,2553,Silty Clay loam,0.37,0.64,NLUP,2074,NA,NA,NA,000674C1_1,0,20
0006BDD4,Dadeldhura,7.6599998,0.12,2.02,85.13,2.35,20,35,46,80.4518,29.0485,Legacy_Data,4283,Silty Clay Loam,NA,NA,NLUP,2076,NA,NA,NA,0006BDD4_1,0,20
000B43BC,Tanahu,5.63,0.15,12.5,120.6,3.07,44.2,21.8,34,84.3601,27.9168,Legacy_Data,29003,Loam,NA,NA,NLUP,2075,NA,NA,NA,000B43BC_1,0,20
000CE6B0,Bara,6.5999999,0.09,65.1,402,2.02,40.4,23.24,36.36,85.0556,27.0811,Legacy_Data,2873,loam,1.04,1.06,NLUP,2074,NA,NA,NA,000CE6B0_1,0,20
0019353E,Kapilvastu,7.9000001,0.17,19.16,174.2,3.42,30.8,9.4,59.8,83.1396,27.5921,Legacy_Data,12004,SiL,1.14,0.03,NLUP,2074,NA,NA,NA,0019353E_1,0,20
00196728,Kanchanpur,8.6000004,0.13,20.8,220.5,2.65,43,46,11,80.4263,28.9147,Legacy_Data,11488,Clay,0.27,0.11,NLUP,2074,NA,NA,NA,00196728_1,0,20
001CD593,Morang,6.9000001,0.15,29.85,177.18,2.92,15,42,43,87.4499,26.7238,Legacy_Data,16737,Silty Clay,0.49,0.81,NLUP,2074,NA,NA,NA,001CD593_1,0,20
001DC2D1,Rolpa,6.2,0.21,32.29,241.79,2.2,51.6,3.4,45,82.6198,28.3273,Legacy_Data,23833,Sandy Loam,0.23,1.36,IWRMP,2074,NA,NA,NA,001DC2D1_1,0,20
001E43CD,Mahottari,6.6999998,0.08,26.21,82.21,1.54,19.5,40.2,40.3,85.8058,26.6785,Legacy_Data,14399,silty clay,0.25,0.23,NLUP,2074,NA,NA,NA,001E43CD_1,0,20
00243212,Dolakha,5.22,0.01,123.52,155.31,1.57,NA,NA,NA,86.1403,27.5005,Legacy_Data,6712,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,00243212_1,0,20
0024610A,Morang,6.8000002,0.06,35.7,254.6,1.18,32.6,5.2,62.2,87.4927,26.4848,Legacy_Data,16308,SiL,0.57,0.08,NLUP,2074,NA,NA,NA,0024610A_1,0,20
0026FE70,Morang,6,0.18,136.34,565.8,3.57,32.9,5.2,61.9,87.4653,26.506,Legacy_Data,16319,SiL,0.56,0.05,NLUP,2074,NA,NA,NA,0026FE70_1,0,20
002B27C3,Dhanusha,7,0.04,2,37.99,0.45,48.6,15.4,36,85.9737,26.8313,Legacy_Data,6412,L,0.02,1.32,NLUP,2074,NA,NA,NA,002B27C3_1,0,20
002B60F3,Nawalparasi,4.96,0.07,142.708,58.08,0.8,36.39,22.12,41.49,84.2304,27.6698,Legacy_Data,20100,LOAM,NA,NA,NLUP,2074,NA,NA,NA,002B60F3_1,0,20
002C7E93,Rautahat,6.3000002,0.2,13.3,115.58,3.3,82,7,11,85.263,26.901,Legacy_Data,23403,Loamy Sand,0.44,0.33,NLUP,2076,NA,NA,NA,002C7E93_1,0,20
002D8998,Baglung-Parbat,7.4299998,0.05,58.4,692.9,0.84,37,6,57,83.0379,28.3588,Legacy_Data,703,,NA,NA,NLUP,2076,NA,NA,NA,002D8998_1,0,20
0031A914,Dhadhing,6.66,0.15,45.45,92.4,3,11.4,40.7,47.9,84.9588,28.0044,Legacy_Data,5871,Silty clay,NA,NA,NLUP,2077,NA,NA,NA,0031A914_1,0,20
00395270,Kapilvastu,8.5,0.08,13.11,80.4,1.69,37.1,3.2,59.7,82.8279,27.526,Legacy_Data,12008,SiL,NA,NA,NLUP,2074,NA,NA,NA,00395270_1,0,20
003BB029,Doti,6.4000001,0.14,66.73,57.22,3.12,40,18,42,80.8561,29.0413,Legacy_Data,7153,SANDY LOAM,NA,NA,NLUP,2076,NA,NA,NA,003BB029_1,0,20
003F9E48,Doti,5.8800001,0.11,21.94,225.41,2.22,65,24,12,81.0135,29.3045,Legacy_Data,7072,Sandy Clay Loam,NA,NA,NLUP,2076,NA,NA,NA,003F9E48_1,0,20
0040913F,Bara,7.8499999,0.14,13.74,188.77,2.82,44,15,41,85.0022,26.9384,Legacy_Data,2710,Loam,0.67,1.88,NLUP,2074,NA,NA,NA,0040913F_1,0,20
004309CE,Parsa,6.1999998,0.05,2,101.2,0.65,36.9,14.3,48.8,84.793,27.1306,Legacy_Data,21534,L,1.62,0.14,NLUP,2074,NA,NA,NA,004309CE_1,0,20
00485B5B,Dhanusha,5.5999999,0.03,2,95.66,0.1,70.6,3.4,26,86.0063,26.8576,Legacy_Data,6471,SL,0.02,1.65,NLUP,2074,NA,NA,NA,00485B5B_1,0,20
0053F719,Mahottari,4.9000001,0.07,11.52,16.93,0.45,72.6,2.3,25.1,85.8859,26.8757,Legacy_Data,14583,Loamy Fine Sand,0.43,0.23,NLUP,2074,NA,NA,NA,0053F719_1,0,20
0057053A,Dhadhing,6.57,0.11,61.22,291.6,2.23,11.7,40.8,47.5,84.9095,27.905,Legacy_Data,5783,Silty clay,NA,NA,NLUP,2077,NA,NA,NA,0057053A_1,0,20
00581468,Gulmi,5.9,0.27,191,222.12,6.17,58.9,6,35.1,83.1233,28.1335,Legacy_Data,7811,SL,NA,NA,NLUP,2075,NA,NA,NA,00581468_1,0,20
005A8F6D,Dhanusha,5.9000001,0.05,2,96.76,0.52,47.2,7.4,45.4,86.0694,26.8758,Legacy_Data,6323,SL,0.01,0.02,NLUP,2074,NA,NA,NA,005A8F6D_1,0,20
005EFD78,Dhadhing,7.2,0.18,100.66,87.6,3.54,71.5,24.7,3.8,84.833,28.028,Legacy_Data,5889,Sandy clay loam,NA,NA,NLUP,2077,NA,NA,NA,005EFD78_1,0,20
0062F47D,Lamjung,6.09,0.18,309.13,273.04,4.19,41.51,8,50.49,84.6317,28.2248,Legacy_Data,13758,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,0062F47D_1,0,20
00685032,Panchthar,5.73,0.12,496.93,522.96,1.65,32.82,6,61.18,87.5984,26.8883,Legacy_Data,21055,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,00685032_1,0,20
006AFC23,Sindhupalchowk,6.44,0.09,26.53,342,1.72,9.9,41.3,48.8,85.8705,27.6404,Legacy_Data,27042,Silty Clay,NA,NA,NLUP,2077,NA,NA,NA,006AFC23_1,0,20
006B015C,Jumla,6.1199999,0.24,18.24,402,4.28,66,6,27,82.1,29.2386,Legacy_Data,10307,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,006B015C_1,0,20
006C1CB2,Saptari,5.5,0.06,6.46,104.26,0.79,47.7,10.6,41.7,86.513,26.6863,Legacy_Data,26276,L,0.6,1.82,NLUP,2074,NA,NA,NA,006C1CB2_1,0,20
006D068D,Terathum,6.8,0.08,57.94,423.74,3.4,58,12,30,87.6862,27.153,Legacy_Data,29807,Sandy Loam,1.81,0.83,IWRMP,2074,NA,NA,NA,006D068D_1,0,20
00749129,Sindhupalchowk,6.53,0.13,27.75,286.8,2.58,68.5,24.7,6.8,85.8632,27.9256,Legacy_Data,27405,Sandy Clay Loam,NA,NA,NLUP,2077,NA,NA,NA,00749129_1,0,20
007522F2,Dadeldhura,6.5100002,0.08,13.73,23.69,1.68,67,18,16,80.525,29.0185,Legacy_Data,4276,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,007522F2_1,0,20
0075C523,Nawalparasi,6.5,0.07,21,120,1.3,NA,NA,NA,84.0063,27.5659,Legacy_Data,19884,Sandy clay loam,NA,NA,NLUP,2074,NA,NA,NA,0075C523_1,0,20
00764112,Myagdi,6.25,0.09,349.3,220.9,1.7,19,2,79,83.6392,28.3819,Legacy_Data,18450,Silt Loam,NA,NA,NLUP,2076,NA,NA,NA,00764112_1,0,20
007926E1,Morang,5.9000001,0.08,46.78,47.88,1.42,25.5,22.8,51.7,87.4085,26.589,Legacy_Data,16560,SIL,1.5,0.11,NLUP,2074,NA,NA,NA,007926E1_1,0,20
007C2619,Rolpa,5.91,0.04,82.9,661.5,0.35,57,8,35,82.7497,28.4491,Legacy_Data,24045,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,007C2619_1,0,20
0081B0B6,Sunsari,5.3000002,0.08,13.05,171.9,1.56,17,41,42,87.2186,26.6291,Legacy_Data,28407,Silty Clay Loam,0.15,0.15,NLUP,2074,NA,NA,NA,0081B0B6_1,0,20
0082823C,Darchula,6.6999998,0.37,0.52,119.63,8.62,52,9,39,80.7745,29.7299,Legacy_Data,5426,SANDY LOAM,NA,NA,NLUP,2074,NA,NA,NA,0082823C_1,0,20
008A3B99,Bajhang,5.8000002,0.43,10.2,517.4,6.37,52,8,40,81.0903,29.614,Legacy_Data,1176,SANDY LOAM,NA,NA,NLUP,2076,NA,NA,NA,008A3B99_1,0,20
008BEF63,Nawalparasi,6.3000002,0.08,30.7,215,5.17,83.6,7.12,9.28,83.8398,27.5545,Legacy_Data,19672,Loamy Sand,NA,NA,NLUP,2074,NA,NA,NA,008BEF63_1,0,20
008EE482,Jumla,4.9400001,0.21,30.06,455.6,4.28,64,10,26,82.1456,29.2739,Legacy_Data,10294,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,008EE482_1,0,20
008FCF1B,Kapilvastu,7.9000001,0.13,26.11,247.4,2.54,15.1,18.7,66.2,82.7672,27.539,Legacy_Data,11680,SiL,NA,NA,NLUP,2074,NA,NA,NA,008FCF1B_1,0,20
0093AD15,Bardiya,6.6999998,0.12,108.63,94.94,2.5,27.8,25.9,46.3,81.4283,28.342,Legacy_Data,3375,L,0.02,0.4,NLUP,2074,NA,NA,NA,0093AD15_1,0,20
00948592,Morang,5.6999998,0.06,24.44,335,1.25,45,3,52,87.6349,26.6759,Legacy_Data,16558,SiL,0.02,0.87,NLUP,2074,NA,NA,NA,00948592_1,0,20
00956EE2,Salyan,6.4,0.07,260.88,152.38,3.2,53.35,13.4,33.25,82.3097,28.4969,Legacy_Data,25321,Loam,1.61,0.74,IWRMP,2074,NA,NA,NA,00956EE2_1,0,20
0095808C,Kalikot,7.8299999,0.18,36.48,509.2,3.54,53,9,38,81.7495,29.2801,Legacy_Data,11294,SL,NA,NA,NLUP,2074,NA,NA,NA,0095808C_1,0,20
009F64A2,Jumla,4.6500001,0.5,36.78,670,10.04,68,8,24,82.0986,29.0877,Legacy_Data,10336,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,009F64A2_1,0,20
00A0D7B4,Nawalparasi,6.1999998,0.1,138.4,166.6,5.17,50.56,16.16,33.28,83.7975,27.5037,Legacy_Data,19281,Loam,NA,NA,NLUP,2074,NA,NA,NA,00A0D7B4_1,0,20
00A295F6,Nawalparasi,6.3000002,0.08,30.7,215,5.17,83.6,7.12,9.28,83.8398,27.6106,Legacy_Data,19595,Loamy Sand,NA,NA,NLUP,2074,NA,NA,NA,00A295F6_1,0,20
00A555BB,Jumla,6.9699998,0.21,37.08,763.8,4.2,46,10,44,82.0821,29.1292,Legacy_Data,10319,Loam,NA,NA,NLUP,2076,NA,NA,NA,00A555BB_1,0,20
00AB0D7E,Saptari,6.4000001,0.06,7.61,108.85,0.84,40,14.6,45.4,86.6857,26.6417,Legacy_Data,26241,L,1.33,1.78,NLUP,2074,NA,NA,NA,00AB0D7E_1,0,20
00ABEDF7,Kapilvastu,5.9000001,0.1,13.11,107.2,1.95,9,16.6,74.4,83.1945,27.5371,Legacy_Data,11561,SiL,0.83,0.02,NLUP,2074,NA,NA,NA,00ABEDF7_1,0,20
00AD22FA,Rolpa,6.57,0.09,279.4,774.9,2.23,36,10,54,82.8554,28.4617,Legacy_Data,24035,Silt Loam,NA,NA,NLUP,2076,NA,NA,NA,00AD22FA_1,0,20
00AD914F,Rupendehi,6.4000001,0.08,36.09,12.6,1.48,50.6,10,39.4,83.4856,27.6239,Legacy_Data,25104,L,1.42,0.22,NLUP,2074,NA,NA,NA,00AD914F_1,0,20
00AE026E,Rautahat,8.1999998,0.05,22.35,48.68,0.93,38.5,54,7.5,85.302,26.9626,Legacy_Data,23439,clay,0.14,0.19,NLUP,2076,NA,NA,NA,00AE026E_1,0,20
00AF3ACD,Mahottari,7.1999998,0.08,5.22,20.5,1.15,65.7,4.6,29.7,85.8691,26.7915,Legacy_Data,14535,Sandy Loam,0.29,0.2,NLUP,2074,NA,NA,NA,00AF3ACD_1,0,20
00AF82A3,Kalikot,6.6500001,0.1,20.6,308.2,2,74,8,18,81.6362,29.1271,Legacy_Data,11228,SL,NA,NA,NLUP,2074,NA,NA,NA,00AF82A3_1,0,20
00B19F91,Bhojpur,7.08,0.07,260.54,381.33,2.48,25.16,42,32.84,87.2029,27.1291,Legacy_Data,4040,Clay,NA,NA,NLUP,2077,NA,NA,NA,00B19F91_1,0,20
00BD4821,Kailali,8.3000002,0.1,71.1,67.82,2,41.2,19.1,39.7,80.9423,28.6521,Legacy_Data,10977,L,2.46,0.38,NLUP,2074,NA,NA,NA,00BD4821_1,0,20
00BEA2B1,Salyan,6.8000002,0.11,25.6,308.2,2.12,44,6,50,82.0139,28.5806,Legacy_Data,25827,SiL,NA,NA,NLUP,2074,NA,NA,NA,00BEA2B1_1,0,20
00BF9ECF,Salyan,5.75,0.32,73.749,312,3.61,42,19,40,82.3887,28.4672,Legacy_Data,25641,Loam,NA,NA,NLUP,2074,NA,NA,NA,00BF9ECF_1,0,20
00BFB7DB,Darchula,7.5799999,0.37,64.212,55.5,8.07,38,15,48,80.5513,29.6774,Legacy_Data,5371,LOAM,NA,NA,NLUP,2074,NA,NA,NA,00BFB7DB_1,0,20
00C46B83,Lamjung,5.81,0.29,100.62,112.22,4.77,47.92,4,48.08,84.3989,28.2041,Legacy_Data,13858,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,00C46B83_1,0,20
00C74E1D,Nawalparasi,7.0999999,0.08,51.2,86,4.53,48,16.72,35.28,83.8204,27.4918,Legacy_Data,19267,Loam,NA,NA,NLUP,2074,NA,NA,NA,00C74E1D_1,0,20
00C80462,Sayngja,7.4899998,0.03,35,118,1.29,9,12,79,83.8251,27.9904,Legacy_Data,26641,Silt loam,NA,NA,NLUP,2075,NA,NA,NA,00C80462_1,0,20
00C91388,Nawalparasi,5.1999998,0.15,8,192,3.1,NA,NA,NA,84.0913,27.5584,Legacy_Data,19730,Silty,NA,NA,NLUP,2074,NA,NA,NA,00C91388_1,0,20
00C98AC6,Bara,5,0.02,43,72,0.39,9,27,64,85.0115,26.9005,Legacy_Data,2063,sandy clay loam,0.37,0.05,NLUP,2074,NA,NA,NA,00C98AC6_1,0,20
00CA633A,Dhanusha,5.8000002,0.07,30.91,112.94,1.19,29.2,15.1,55.7,85.9833,26.8918,Legacy_Data,6250,SIL,0.24,1.49,NLUP,2074,NA,NA,NA,00CA633A_1,0,20
00CB0D3C,Tanahu,6.5,0.14,97.49,151.13,2.82,35.2,10,54.8,84.1835,27.9146,Legacy_Data,29205,SIL,NA,NA,NLUP,2075,NA,NA,NA,00CB0D3C_1,0,20
00CE125E,Sindhupalchowk,6.4,0.21,11.55,354,4.12,69.8,24.2,6,85.7325,27.698,Legacy_Data,27074,Sandy Clay Loam,NA,NA,NLUP,2077,NA,NA,NA,00CE125E_1,0,20
00CEFE05,Jajarkot,6.1999998,0.17,184.091,279.6,3.18,63,10,26,81.9769,28.9359,Legacy_Data,8734,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,00CEFE05_1,0,20
00CFDCB2,Tanahu,7.8,0.09,37.87,58.81,1.52,63.5,5.7,30.8,84.3523,27.7515,Legacy_Data,29093,SL,NA,NA,NLUP,2075,NA,NA,NA,00CFDCB2_1,0,20
00D2652D,Morang,5.5999999,0.04,3.11,53.6,0.86,36.9,7.4,55.7,87.6178,26.4973,Legacy_Data,16471,SiL,1.87,0.02,NLUP,2074,NA,NA,NA,00D2652D_1,0,20
00D6F64E,Kailali,8.1999998,0.15,19,199,3.05,NA,NA,NA,80.8822,28.5203,Legacy_Data,11121,clay,0.08,0.31,NLUP,2074,NA,NA,NA,00D6F64E_1,0,20
00D931FB,Gulmi,5.8,0.31,223,170.12,7.33,64.6,5.2,30.2,83.0663,28.1556,Legacy_Data,7766,SL,NA,NA,NLUP,2075,NA,NA,NA,00D931FB_1,0,20
00DA8707,Surkhet,6.1999998,0.17,38,144,3.4,47.1,2.3,50.6,81.6542,28.6263,Legacy_Data,28808,Clay Loam,NA,NA,NLUP,2075,NA,NA,NA,00DA8707_1,0,20
00DCC37F,Bara,7,0.11,37.54,190.6,2.29,25.68,32.32,42,85.0291,27.0559,Legacy_Data,2644,Clay Loam,0.38,0.2,NLUP,2074,NA,NA,NA,00DCC37F_1,0,20
00DF46D2,Taplejung,6.44,0.08,305.31,90.5,3.8,50.35,20.15,29.5,87.8858,27.3457,Legacy_Data,29343,Sandy Clay Loam,0.39,2.38,IWRMP,2074,NA,NA,NA,00DF46D2_1,0,20
00E37952,Mahottari,5.1999998,0.05,3.684,18.06,1.67,42.9,18.3,38.8,85.9097,26.8635,Legacy_Data,14423,Loam,0.42,0.2,NLUP,2074,NA,NA,NA,00E37952_1,0,20
00E3EC2D,Kalikot,7.0799999,0.05,8.24,257.6,0.91,51,9,40,81.8211,29.4283,Legacy_Data,11305,L,NA,NA,NLUP,2074,NA,NA,NA,00E3EC2D_1,0,20
00E6D3A0,Argakhachi,6.1999998,0.06,5.897,368.26,3.54,89,7,4,83.1699,27.8577,Legacy_Data,363,Sandy Loam,NA,NA,NLUP,2075,NA,NA,NA,00E6D3A0_1,0,20
00EAEC5B,Dadeldhura,5.8400002,0.08,2.51,463.2,1.53,71,26,4,80.7468,29.3745,Legacy_Data,4510,Sandy Clay Loam,NA,NA,NLUP,2076,NA,NA,NA,00EAEC5B_1,0,20
00EB477A,Siraha,7.6999998,0.18,5.15,86.02,1.26,62.4,17.3,20.3,86.3553,26.7475,Legacy_Data,27694,Sandy Loam,0.15,0.09,NLUP,2074,NA,NA,NA,00EB477A_1,0,20
00EBCAB0,Gorkha,6.57,0.08,4.06,321.6,1.53,60.66,9.82,29.52,84.6936,28.1443,Legacy_Data,7390,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,00EBCAB0_1,0,20
00ED5567,Salyan,5.58,0.07,265.44,168.42,3,39.35,19.4,41.25,82.3026,28.5192,Legacy_Data,25318,Loam,1.71,0.73,IWRMP,2074,NA,NA,NA,00ED5567_1,0,20
00EF48F3,Bhojpur,5.41,0.23,143.49,124.74,7.9,11.34,2,86.66,87.1596,26.9448,Legacy_Data,3874,Silt,NA,NA,NLUP,2077,NA,NA,NA,00EF48F3_1,0,20
00F3D6B3,Bardiya,6,0.09,53.04,69.9,1.61,31.8,26.5,41.7,81.5259,28.1895,Legacy_Data,3409,L,NA,0.4,NLUP,2074,NA,NA,NA,00F3D6B3_1,0,20
00F971B9,Sunsari,5.5,0.09,28.878,215.04,1.81,7,7,86,87.1679,26.5697,Legacy_Data,28260,Silt,0.19,0.15,NLUP,2074,NA,NA,NA,00F971B9_1,0,20
00F987A1,Jhapa,5.5,0.1,13.11,40.2,2.01,11,23,66,87.8389,26.5484,Legacy_Data,8784,SiL,1.13,0.03,NLUP,2074,NA,NA,NA,00F987A1_1,0,20
00FBA890,Bhojpur,5.72,0.14,49.03,133.06,6.08,14.42,4,81.58,87.083,27.2154,Legacy_Data,4026,Silt,NA,NA,NLUP,2077,NA,NA,NA,00FBA890_1,0,20
00FC75D0,Sankhuwasabha,7.4000001,0.26,54.11,1072,5.18,76.36,5.76,17.88,87.3826,27.3709,Legacy_Data,25977,Loamy Sand,NA,NA,NLUP,2077,NA,NA,NA,00FC75D0_1,0,20
01010040,Gorkha,7.26,2.13,16,42.64,2.92,69.4,4,26.6,84.6935,27.8115,Legacy_Data,7581,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,01010040_1,0,20
01011A8D,Jumla,4.8299999,0.44,46.18,897.8,8.86,56,12,32,82.1921,29.263,Legacy_Data,10272,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,01011A8D_1,0,20
01036F04,Jhapa,5.8000002,0.08,8.19,64.51,3.84,16,39,45,87.787,26.4639,Legacy_Data,9278,Silty Clay Loam,0.34,0.06,NLUP,2074,NA,NA,NA,01036F04_1,0,20
0106FB51,Myagdi,5.2,0.13,141.474,430.08,2.61,NA,NA,NA,83.54,28.4838,Legacy_Data,18111,loam,NA,NA,SMD,NA,NA,NA,NA,0106FB51_1,0,20
01077FE1,Mahottari,5.5,0.07,58.24,344.06,1.42,88,6.9,5.1,85.7471,26.9582,Legacy_Data,14750,Sandy Loam,0.14,1.15,NLUP,2074,NA,NA,NA,01077FE1_1,0,20
010B9EB1,Salyan,7,0.04,338.35,131.4,1.7,50.1,9.9,40,82.2497,28.2844,Legacy_Data,25279,Loam,1.02,0.47,IWRMP,2074,NA,NA,NA,010B9EB1_1,0,20
0110AED0,Rautahat,6.8000002,0.15,20.65,155.9,1.77,92,6.9,1.1,85.1898,26.913,Legacy_Data,23508,Loamy Sand,0.46,0.62,NLUP,2076,NA,NA,NA,0110AED0_1,0,20
01112D01,Jhapa,5.1999998,0.15,30.51,107.2,3.08,35,29,36,88.0703,26.6467,Legacy_Data,9639,Clayloam,0.4,2.5,NLUP,2074,NA,NA,NA,01112D01_1,0,20
011520BA,Lamjung,6.13,0.18,170.8,48,4.34,35.25,6,58.75,84.4751,28.1766,Legacy_Data,13928,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,011520BA_1,0,20
0115DCA9,Nawalparasi,4.9000001,0.07,21.365,15.91,NA,56.63,17.52,25.85,84.0183,27.6646,Legacy_Data,20311,SL,NA,NA,NLUP,2074,NA,NA,NA,0115DCA9_1,0,20
011F9AE3,Bajhang,6.1999998,0.19,13.82,140.87,1.74,28,20,52,81.1793,29.4427,Legacy_Data,1095,SILT LOAM,NA,NA,NLUP,2076,NA,NA,NA,011F9AE3_1,0,20
01233FA0,Bhojpur,5.77,0.16,286.08,232.92,2.12,53.74,14,32.26,86.9307,27.1789,Legacy_Data,3917,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,01233FA0_1,0,20
0124E186,Rolpa,6.69,0.06,35,1072,2.23,29,22,49,82.506,28.3856,Legacy_Data,24131,Loam,NA,NA,NLUP,2076,NA,NA,NA,0124E186_1,0,20
0125C302,Bhojpur,5.39,0.24,32.02,46.67,7.73,30.05,4,65.95,86.9379,27.4107,Legacy_Data,3751,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,0125C302_1,0,20
01260E48,Morang,5.25,0.08,23.12,214.4,1.66,47.2,5.4,47.4,87.646,26.4624,Legacy_Data,16662,SL,1.48,0.02,NLUP,2074,NA,NA,NA,01260E48_1,0,20
012851A4,Panchthar,5.81,0.19,526.64,232.46,2.15,63.97,4,32.03,87.98,27.2483,Legacy_Data,21326,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,012851A4_1,0,20
012A4A44,Bara,7,0.06,21.55,174.2,1.34,25.12,33.24,41.64,85.0641,27.0968,Legacy_Data,2679,clay loam,NA,NA,NLUP,2074,NA,NA,NA,012A4A44_1,0,20
012D82DE,Doti,6.9000001,0.05,26.45,205.2,0.97,77,19,4,80.988,29.2035,Legacy_Data,7017,Sandy Loam,NA,NA,NLUP,2076,NA,NA,NA,012D82DE_1,0,20
0133B7AD,Terathum,5,0.05,34.07,253.76,2,27,48,25,87.5223,27.1658,Legacy_Data,30016,Clay,1.43,0.95,IWRMP,2074,NA,NA,NA,0133B7AD_1,0,20
0134935D,Morang,6.1999998,0.07,9.1,147.4,1.34,34.2,2.1,63.7,87.4077,26.65,Legacy_Data,16280,SiL,0.55,0.65,NLUP,2074,NA,NA,NA,0134935D_1,0,20
01393B2E,Jajarkot,6.7199998,0.14,102.16,183.6,3.12,47,10,42,82.2164,28.7004,Legacy_Data,8485,Loam,NA,NA,NLUP,2076,NA,NA,NA,01393B2E_1,0,20
013AC1E8,Kapilvastu,6.9000001,NA,10.115,19.2,1.01,42.9,5.4,51.7,83.106,27.6562,Legacy_Data,12087,SIL,0.67,0.04,NLUP,2074,NA,NA,NA,013AC1E8_1,0,20
013F8B86,Salyan,5.6700001,0.1,33.596,228,4.32,37,19,44,82.2601,28.4891,Legacy_Data,25651,Loam,NA,NA,NLUP,2074,NA,NA,NA,013F8B86_1,0,20
01411BC9,Rautahat,6.6999998,0.04,2,80.94,0.41,54.6,8,41.1,85.3518,26.8708,Legacy_Data,23253,SL,0.58,0.06,NLUP,2076,NA,NA,NA,01411BC9_1,0,20
01434621,Sindhupalchowk,6.66,0.29,42,237.6,5.79,91.3,5.6,3.1,85.8831,27.821,Legacy_Data,27255,Sandy Soil,NA,NA,NLUP,2077,NA,NA,NA,01434621_1,0,20
0146A1BE,Salyan,6.5599999,0.27,197.032,1106.4,6.06,48,18,34,82.2139,28.3495,Legacy_Data,25572,Loam,NA,NA,NLUP,2074,NA,NA,NA,0146A1BE_1,0,20
0146EE74,Gulmi,6.6,0.21,119,126.63,4.81,66.3,4.3,29.4,83.1178,28.1909,Legacy_Data,7906,SL,NA,NA,NLUP,2075,NA,NA,NA,0146EE74_1,0,20
01472355,Nawalparasi,5.5100002,0.08,77.608,177.94,NA,80.96,8.03,11.01,84.0015,27.5811,Legacy_Data,20053,LS,NA,NA,NLUP,2074,NA,NA,NA,01472355_1,0,20
01499FDF,Siraha,7.5,0.08,32.97,114.35,1.41,57.7,6.3,36,86.3144,26.854,Legacy_Data,27584,SL,0.02,1.3,NLUP,2074,NA,NA,NA,01499FDF_1,0,20
014BF4D8,Banke,6.3000002,0.06,5.3,65.18,0.76,27.5,16.8,55.7,81.5661,28.1773,Legacy_Data,1687,SIL,2.25,0.18,NLUP,2074,NA,NA,NA,014BF4D8_1,0,20
01508BC0,Rautahat,6.3000002,0.46,29.12,72.58,1.63,84,6.9,9.1,85.1982,26.8843,Legacy_Data,23421,Sandy Loam,0.18,0.31,NLUP,2076,NA,NA,NA,01508BC0_1,0,20
0150A305,Jhapa,4.6999998,0.05,107,215,1.04,12,16,72,87.8015,26.6052,Legacy_Data,8759,SiL,0.1,2.02,NLUP,2074,NA,NA,NA,0150A305_1,0,20
0152CB67,Jajarkot,6.6599998,0.05,118.116,274.8,0.42,27,36,36,81.9414,28.8749,Legacy_Data,8711,Clay Loam,NA,NA,NLUP,2076,NA,NA,NA,0152CB67_1,0,20
015370C3,Bhojpur,6.91,0.11,224.35,248.14,2.67,32.97,6,61.03,87.1863,27.2772,Legacy_Data,3947,Silt Loam,NA,NA,NLUP,2077,NA,NA,NA,015370C3_1,0,20
